group	sample	phased_count	ground_truth_count	switch_error_rate_ALL_intersec	switch_error_rate_Largest_intersec
samples_roandBUKAL	RO-SIT-2019-012	42612	42612	1.67	0.00
samples_roandBUKAL	RO-SIT-2019-014	37417	37417	2.30	23.81
samples_roandBUKAL	RO-SIT-2019-015	37598	37598	2.90	0.00
samples_roandBUKAL	RO-SIT-2021-001	49323	49323	1.67	17.19
samples_roandBUKAL	RO-SIT-2021-002	47540	47540	0.84	23.29
samples_roandBUKAL	RO-SIT-2021-003	47386	47386	1.20	5.56
samples_roandBUKAL	RO-SIT-2021-004	43375	43375	0.90	18.18
samples_roandBUKAL	RO-SIT-2021-005	49928	49928	0.51	0.00
samples_roandBUKAL	RO-SIT-2021-006	44722	44722	1.58	15.00
samples_roandBUKAL	RO-SIT-2021-007	45713	45713	2.90	0.00
samples_roandBUKAL	RO-SIT-2021-008	48572	48572	0.35	19.75
samples_roandBUKAL	RO-SIT-2021-009	41332	41332	2.34	21.88
samples_roandBUKAL	RO-SIT-2021-010	50010	50010	0.56	0.00
samples_roandBUKAL	RO-SIT-2021-011	41010	41010	1.19	4.47
samples_roandBUKAL	RO-SIT-2021-012	46311	46311	1.00	23.29
samples_roandBUKAL	RO-SIT-2021-013	48374	48374	1.09	28.12
samples_roandBUKAL	RO-SIT-2021-014	49080	49080	4.89	19.40
samples_roandBUKAL	RO-SIT-2021-015	48270	48270	1.14	12.68
samples_roandBUKAL	RO-SIT-2021-016	43862	43862	3.77	34.00
samples_roandBUKAL	RO-SIT-2021-017	39872	39872	0.84	0.00
samples_roandBUKAL	RO-SIT-2021-018	51879	51879	2.83	23.44
samples_roandBUKAL	RO-SIT-2021-019	48283	48283	1.75	2.50
samples_roandBUKAL	RO-SIT-2021-020	43518	43518	0.48	10.00
samples_roandBUKAL	RO-SIT-2021-021	46696	46696	0.63	26.03
samples_roandBUKAL	RO-SIT-2021-022	47647	47647	1.80	2.13
samples_roandBUKAL	RO-SIT-2021-023	45601	45601	0.86	17.24
samples_roandBUKAL	RO-SIT-2021-024	50800	50800	5.78	0.00
samples_roandBUKAL	RO-SIT-2021-025	55626	55626	7.02	5.61
samples_roandBUKAL	RO-SIT-2022-014	47267	47267	1.16	12.31
samples_roandBUKAL	RO-SIT-2022-027	50681	50681	4.32	25.71
samples_roandBUKAL	RO-SOM-2019-001	53184	53184	17.14	4.08
samples_roandBUKAL	RO-TUR-2019-002	46471	46471	2.67	0.00
