sample	phased_count	ground_truth_count	switch_error_rate_ALL_intersec	switch_error_rate_Largest_intersec
GEO-VVI-2018-010	54851	54851	12.56	30.08
GEO-VVI-2018-011	55032	55032	9.90	4.82
GR-ATT-2019-007	54943	54943	15.46	10.75
GR-ATT-2019-009	52418	52418	15.04	19.75
GR-BAN-2022-022	56323	56323	14.11	8.33
GR-BAN-2022-023	55918	55918	14.28	0.00
GR-CRE-2017-001	53726	53726	13.65	0.00
GR-CRE-2017-002	54752	54752	14.13	21.74
GR-DAD-2018-001	59375	59375	14.35	4.09
GR-DIS-2019-017	49807	49807	15.64	16.67
GR-DIS-2019-020	57614	57614	15.18	13.27
GR-EVV-2019-001	55183	55183	14.39	21.05
GR-EVV-2019-005	58214	58214	14.65	12.94
GR-GAL-2019-014-REF	63170	63170	14.94	12.87
GR-GAL-2019-015	51757	51757	14.84	20.73
GR-LES-2017-002	57525	57525	14.50	19.05
GR-LES-2017-004	53694	53694	15.60	20.00
GR-LES-2017-005	53774	53774	14.77	13.21
GR-LES-2017-006	59731	59731	14.61	7.43
GR-LES-2017-007	53754	53754	15.46	28.57
GR-LES-2017-008	59553	59553	14.78	22.73
GR-Oenhismel_white	57287	57287	14.73	0.00
GR-SAT-2019-023	54031	54031	15.32	12.15
IR-ARD-2018-001	57627	57627	13.91	11.21
IR-ARD-2018-002	51439	51439	15.64	22.22
IR-ARD-2018-003	54322	54322	14.51	20.00
IR-ARD-2018-005	59436	59436	15.18	14.15
IR-ARD-2018-006	57292	57292	13.60	5.26
IR-ASH-2017-001	51651	51651	12.99	21.25
IR-ASH-2017-002	51405	51405	12.41	5.13
IR-ASH-2017-006	55032	55032	12.47	7.55
IR-BAL-2017-001	50728	50728	12.38	14.93
IR-BAL-2017-002	54198	54198	11.27	5.13
IR-BAL-2017-003	46275	46275	13.38	0.00
IR-BAL-2017-004	52261	52261	12.32	17.65
IR-BAL-2017-005	55749	55749	11.37	3.45
IR-BAL-2017-006	48777	48777	12.83	25.00
IR-BAL-2017-008	52125	52125	7.26	7.95
IR-BAL-2017-009	56377	56377	11.24	15.05
IR-BAL-2017-010	57312	57312	11.97	18.07
IR-BAL-2017-011	58098	58098	11.98	8.11
IR-BAL-2017-013	57943	57943	10.94	2.90
IR-BAL-2017-014	53868	53868	10.44	4.90
IR-DAM-2017-001	54771	54771	12.34	13.10
IR-DAM-2017-002	54835	54835	10.44	11.84
IR-ESF-2017-001	48574	48574	14.32	9.30
IR-ESF-2017-002	47517	47517	14.50	9.84
IR-FIR-2018-001	54048	54048	11.64	12.28
IR-FIR-2018-003	51299	51299	7.40	10.00
IR-FIR-2018-004	54708	54708	10.51	4.55
IR-FIR-2018-005	56663	56663	11.92	9.47
IR-FIR-2018-006	54301	54301	12.36	18.99
IR-FIR-2018-007	53923	53923	12.71	7.95
IR-FIR-2018-009	55779	55779	11.43	3.30
IR-FIR-2018-010	57025	57025	11.49	5.36
IR-FIR-2018-011	53280	53280	10.27	17.81
IR-FIR-2018-013	50906	50906	11.85	3.51
IR-FIR-2018-014	53541	53541	12.92	11.24
IR-FIR-2018-015	54181	54181	10.94	2.50
IR-HAS-2018-002	57270	57270	15.10	21.21
IR-HAS-2018-004	57007	57007	13.96	33.33
IR-HAS-2018-005	59293	59293	14.62	10.17
IR-HAS-2018-007	59647	59647	14.39	4.35
IR-HAS-2018-009	54852	54852	14.34	8.75
IR-KIL-2018-001	54138	54138	11.37	5.88
IR-KIL-2018-003	57795	57795	12.33	13.38
IR-KIL-2018-005	53276	53276	11.82	18.18
IR-KIL-2018-006	56132	56132	11.62	1.75
IR-KIL-2018-008	53344	53344	12.77	26.00
IR-KIL-2018-009	50840	50840	12.26	6.25
